study,questionnaire,question,item,answer_list,text,question_text,text_de,question_text_de,dataset,variable
soep-pretest,pre_2001,1,11,,your overall standard of living?,"How satisfied are you today with the following areas of your life? Please answer by using the following scale: 0 means completely dissatisfied, 10 means completely satisfied. If you are partly satisfied/dissatisfied please choose a number in between. How satisfied are you with . .",mit Ihrem Lebensstandard insgesamt?,"Wie zufrieden sind Sie heute mit den folgenden Bereichen Ihres Lebens? Bitte kreuzen Sie für jeden Bereich auf der Skala einen Wert an: Wenn Sie ganz und gar unzufrieden sind, den Wert ""0"", wenn Sie ganz und gar zufrieden sind, den Wert ""10"". Wenn Sie teils zufrieden / teils unzufrieden sind, einen Wert dazwischen. Wie zufrieden sind Sie . . .",pre_2001,pzuf11
soep-pretest,pre_2001,2,,,"Have you been engaged in paid work during the last 7 days, even if this work was only for an hour or just a few hours? Please answer yes also if you normally would have worked in the last seven days, but because of holidays, sickness, bad weather, or other reasons did not do so.",,"Haben Sie während der letzten 7 Tage irgendeine bezahlte Arbeit ausgeübt, auch wenn dies nur für eine Stunde oder für wenige Stunden war? Bitte antworten Sie auch mit ""Ja"", wenn Sie in den letzten sieben Tagen normalerweise gearbeitet hätten, aber wegen Urlaub, Krankheit, schlechtem Wetter oder anderen Gründen zeitweise abwesend waren.",,pre_2001,p7tag
soep-pretest,pre_2001,3,,,"Are you currently under maternity protection or in the legally regulated ""Elternzeit""?",,"Sind Sie zur Zeit im Mutterschutz oder in der gesetzlich geregelten ""Elternzeit""?",,pre_2001,perz
soep-pretest,pre_2001,4,1,,Are you currently observing the legal regulation concerning part-time work while approaching retirement?,,Nehmen Sie zur Zeit eine der gesetzlichen Regelungen zur Altersteilzeit wahr?,,pre_2001,palt1
soep-pretest,pre_2001,4,2,,"Are you currently observing the legal regulation concerning part-time work while approaching retirement? Yes, the following:",,Nehmen Sie zur Zeit eine der gesetzlichen Regelungen zur Altersteilzeit wahr? Und zwar:,,pre_2001,palt2
soep-pretest,pre_2001,5,,,"Are you officially registered as unemployed at the Employment Office (""Arbeitsamt"")?",,Sind Sie zur Zeit beim Arbeitsamt arbeitslos gemeldet?,,pre_2001,palo
soep-pretest,pre_2001,6,1,,"Job, apprenticeship (including travel time to and from work)", What does a typical weekday look like for you? How many hours per day do you spend on the following activities? Please give only whole hours. Use zero if the activity does not apply,"Berufstätigkeit, Lehre (Zeiten einschließlich Arbeitsweg, auch nebenberufliche Tätigkeit)","Wie sieht gegenwärtig Ihr normaler Alltag aus? Wie viele Stunden pro Tag entfallen bei Ihnen an einem durchschnittlichen Werktag auf die folgenden Tätigkeiten? Bitte nur ganze Stunden angeben. Falls nicht zutreffend, bitte ""0"" eintragen!",pre_2001,pwerk1
soep-pretest,pre_2001,6,2,,"Errands (shopping, trips to government agencies, etc.)", What does a typical weekday look like for you? How many hours per day do you spend on the following activities? Please give only whole hours. Use zero if the activity does not apply,"Besorgungen (Einkaufen, Beschaffungen, Behördengänge)","Wie sieht gegenwärtig Ihr normaler Alltag aus? Wie viele Stunden pro Tag entfallen bei Ihnen an einem durchschnittlichen Werktag auf die folgenden Tätigkeiten? Bitte nur ganze Stunden angeben. Falls nicht zutreffend, bitte ""0"" eintragen!",pre_2001,pwerk2
soep-pretest,pre_2001,6,3,,"Housework (washing, cooking, cleaning)", What does a typical weekday look like for you? How many hours per day do you spend on the following activities? Please give only whole hours. Use zero if the activity does not apply,"Hausarbeit (Waschen, Kochen, Putzen)","Wie sieht gegenwärtig Ihr normaler Alltag aus? Wie viele Stunden pro Tag entfallen bei Ihnen an einem durchschnittlichen Werktag auf die folgenden Tätigkeiten? Bitte nur ganze Stunden angeben. Falls nicht zutreffend, bitte ""0"" eintragen!",pre_2001,pwerk3
soep-pretest,pre_2001,6,4,,Child care, What does a typical weekday look like for you? How many hours per day do you spend on the following activities? Please give only whole hours. Use zero if the activity does not apply,Kinderbetreuung,"Wie sieht gegenwärtig Ihr normaler Alltag aus? Wie viele Stunden pro Tag entfallen bei Ihnen an einem durchschnittlichen Werktag auf die folgenden Tätigkeiten? Bitte nur ganze Stunden angeben. Falls nicht zutreffend, bitte ""0"" eintragen!",pre_2001,pwerk4
soep-pretest,pre_2001,6,5,,Care and support for persons in need of care, What does a typical weekday look like for you? How many hours per day do you spend on the following activities? Please give only whole hours. Use zero if the activity does not apply,Versorgung und Betreuung von pflegebedürftigen Personen,"Wie sieht gegenwärtig Ihr normaler Alltag aus? Wie viele Stunden pro Tag entfallen bei Ihnen an einem durchschnittlichen Werktag auf die folgenden Tätigkeiten? Bitte nur ganze Stunden angeben. Falls nicht zutreffend, bitte ""0"" eintragen!",pre_2001,pwerk5
soep-pretest,pre_2001,6,6,,"Education or further training (also school, university)", What does a typical weekday look like for you? How many hours per day do you spend on the following activities? Please give only whole hours. Use zero if the activity does not apply,"Aus- und Weiterbildung, Lernen (auch Schule, Studium)","Wie sieht gegenwärtig Ihr normaler Alltag aus? Wie viele Stunden pro Tag entfallen bei Ihnen an einem durchschnittlichen Werktag auf die folgenden Tätigkeiten? Bitte nur ganze Stunden angeben. Falls nicht zutreffend, bitte ""0"" eintragen!",pre_2001,pwerk6
soep-pretest,pre_2001,6,7,,"Repairs on and around the house, car repairs, garden work", What does a typical weekday look like for you? How many hours per day do you spend on the following activities? Please give only whole hours. Use zero if the activity does not apply,"Reparaturen am Haus, in der Wohnung, am Auto, Gartenarbeit","Wie sieht gegenwärtig Ihr normaler Alltag aus? Wie viele Stunden pro Tag entfallen bei Ihnen an einem durchschnittlichen Werktag auf die folgenden Tätigkeiten? Bitte nur ganze Stunden angeben. Falls nicht zutreffend, bitte ""0"" eintragen!",pre_2001,pwerk7
soep-pretest,pre_2001,6,8,,Hobbies and other free-time activities, What does a typical weekday look like for you? How many hours per day do you spend on the following activities? Please give only whole hours. Use zero if the activity does not apply,Hobbies und sonstige Freizeitbeschäftigungen,"Wie sieht gegenwärtig Ihr normaler Alltag aus? Wie viele Stunden pro Tag entfallen bei Ihnen an einem durchschnittlichen Werktag auf die folgenden Tätigkeiten? Bitte nur ganze Stunden angeben. Falls nicht zutreffend, bitte ""0"" eintragen!",pre_2001,pwerk8
soep-pretest,pre_2001,7,,,,Do you have permanent or partial access to a car for your own personal use?,,Steht Ihnen ständig oder zeitweise ein Pkw zu Ihrer persönlichen Benutzung zur Verfügung?,pre_2001,ppkw
soep-pretest,pre_2001,13,,,,"Are you currently in some sort of education? In other words, do you attend a school or institution of higher education, are you engaged in an apprenticeship or are you participating in further education or training?",,"Sind Sie derzeit in Ausbildung? Das heißt: Besuchen Sie eine Schule oder Hochschule, machen Sie eine Berufsausbildung oder nehmen Sie an einem Weiterbildungslehrgang teil?",pre_2001,paus1
soep-pretest,pre_2001,14,1,,,What type of education or continuing training is that? - General school,,Was für eine Ausbildung oder Weiterbildung ist das? Allgemeinbildende Schulen,pre_2001,paus2
soep-pretest,pre_2001,14,2,,,What type of education or continuing training is that? - Higher education,,Was für eine Ausbildung oder Weiterbildung ist das? - Hochschule,pre_2001,paus3
soep-pretest,pre_2001,14,3,,,"What type of education or continuing training is that? Further education (""Weiterbildung""): ",,Was für eine Ausbildung oder Weiterbildung ist das? - Lehrgang / Kursus zur Weiterbildung,pre_2001,paus4
soep-pretest,pre_2001,14,4,,,"What type of education or continuing training is that?  Further education (""Weiterbildung""), Other:",,Was für eine Ausbildung oder Weiterbildung ist das? - Lehrgang / Kursus zur Weiterbildung; Sonstige und zwar: ,pre_2001,paus4so
soep-pretest,pre_2001,14,5,,,What type of education or continuing training is that? - Vocational education:,,Was für eine Ausbildung oder Weiterbildung ist das? - Berufliche Ausbildung,pre_2001,paus5
soep-pretest,pre_2001,14,6,,,"What type of education or continuing training is that? - Vocational education, other, please specifiy:",,"Was für eine Ausbildung oder Weiterbildung ist das? - Berufliche Ausbildung, Sonstiges und zwar:",pre_2001,paus5so
soep-pretest,pre_2001,15,,,,Are you currently engaged in paid employment? Which of the following applies best to your status? Pensioners with a job contract are considered employed.,,Üben Sie derzeit eine Erwerbstätigkeit aus? Was trifft für Sie zu? Rentner mit Arbeitsvertrag gelten hier als erwerbstätig.,pre_2001,perw
soep-pretest,pre_2001,16,,,,"If you were currently looking for a new job: Is it or would it be easy, difficult or almost impossible to find an appropriate position?",,"Wenn Sie jetzt eine Arbeit suchen würden: Ist oder wäre es für Sie leicht, schwierig oder praktisch unmöglich, eine geeignete Stelle zu finden?",pre_2001,pnerw01
soep-pretest,pre_2001,17,,,,Do you intend to engage in paid employment (again) in the future?,,"Beabsichtigen Sie, in der Zukunft (wieder) eine Erwerbstätigkeit aufzunehmen?",pre_2001,pnerw02
soep-pretest,pre_2001,18,,,,"When, approximately, would you like to start with paid employment?",,Wann etwa wollen Sie Ihre Erwerbstätigkeit aufnehmen?,pre_2001,pnerw03
soep-pretest,pre_2001,20,1,,,"Are you interested in full-time or part-time employment, or would both suit you?",,"Wären Sie an einer Vollzeit- oder einer Teilzeitbeschäftigung interessiert, oder wäre Ihnen beides recht?",pre_2001,pnerw04
soep-pretest,pre_2001,20,2,,euros per month,How high would your net income or salary have to be for you to take a position offered to you?,EURO im Monat,"Wie hoch müsste der Nettoverdienst mindestens sein, damit Sie eine angebotene Stelle annehmen würden?",pre_2001,pnerw07
soep-pretest,pre_2001,20,3,,"Can't say, it depends",How high would your net income or salary have to be for you to take a position offered to you?,"Nicht zu sagen, kommt darauf an","Wie hoch müsste der Nettoverdienst mindestens sein, damit Sie eine angebotene Stelle annehmen würden?",pre_2001,pnerw08
soep-pretest,pre_2001,21,,,,"If someone offered you an appropriate position right now, could you start working within the next two weeks?",,"Wenn man Ihnen jetzt eine passende Stelle anbieten würde, könnten Sie dann innerhalb der nächsten zwei Wochen anfangen zu arbeiten?",pre_2001,pnerw09
soep-pretest,pre_2001,22,,,,Have you actively looked for work within the last four weeks?,,Haben Sie innerhalb der letzten vier Wochen aktiv nach einer Stelle gesucht?,pre_2001,pnerw10
soep-pretest,pre_2001,23,,,,"Did you change your job or start a new one after December 31, 1999?",,Haben Sie nach dem 31. Dezember 1999 die Stelle gewechselt oder eine Arbeit neu aufgenommen?,pre_2001,pwexl1
soep-pretest,pre_2001,24,1,,"2000, in the month",When did you start your current position?,"2000, im Monat",Wann haben Sie Ihre jetzige Stelle angetreten bzw. die Arbeit aufgenommen?,pre_2001,pwexl2
soep-pretest,pre_2001,24,2,,"2001, in the month",When did you start your current position?,"2001, im Monat",Wann haben Sie Ihre jetzige Stelle angetreten bzw. die Arbeit aufgenommen?,pre_2001,pwexl3
soep-pretest,pre_2001,25,,,,"What type of an employment change was that? In the case that you have changed positions several times, please pick the appropriate reason for the most recent change. ",,"Welche Art von beruflicher Veränderung war das? Falls Sie mehrfach die Stelle gewechselt haben, sagen Sie es bitte für den letzten Wechsel.",pre_2001,pwexl4
soep-pretest,pre_2001,26,1,,the type of work?,How do you view your current position compared to your previous one? In which of the following points has your new job improved or worsened your status? Or has it stayed about the same? Please check just one for each line! How is this with regards to ,die Art der Tätigkeit?,"Wie beurteilen Sie Ihre heutige Stelle im Vergleich zur letzten? In welchen Punkten haben Sie sich verbessert, welche sind etwa gleichwertig und in welchen haben Sie sich eher verschlechtert? In jede Zeile bitte eine Nennung! Wie ist dies in Bezug auf ",pre_2001,pvergl1
soep-pretest,pre_2001,26,2,,income?,How do you view your current position compared to your previous one? In which of the following points has your new job improved or worsened your status? Or has it stayed about the same? Please check just one for each line! How is this with regards to ,den Verdienst?,"Wie beurteilen Sie Ihre heutige Stelle im Vergleich zur letzten?
In welchen Punkten haben Sie sich verbessert, welche sind etwa gleichwertig und in welchen haben Sie sich eher verschlechtert? In jede Zeile bitte eine Nennung! Wie ist dies in Bezug auf ",pre_2001,pvergl2
soep-pretest,pre_2001,26,3,,chances of promotion?,How do you view your current position compared to your previous one? In which of the following points has your new job improved or worsened your status? Or has it stayed about the same? Please check just one for each line! How is this with regards to ,die Aufstiegsmöglichkeiten?,"Wie beurteilen Sie Ihre heutige Stelle im Vergleich zur letzten?
In welchen Punkten haben Sie sich verbessert, welche sind etwa gleichwertig und in welchen haben Sie sich eher verschlechtert? In jede Zeile bitte eine Nennung! Wie ist dies in Bezug auf ",pre_2001,pvergl3
soep-pretest,pre_2001,26,4,,work load?,How do you view your current position compared to your previous one? In which of the following points has your new job improved or worsened your status? Or has it stayed about the same? Please check just one for each line! How is this with regards to ,die Arbeitsbelastungen?,"Wie beurteilen Sie Ihre heutige Stelle im Vergleich zur letzten?
In welchen Punkten haben Sie sich verbessert, welche sind etwa gleichwertig und in welchen haben Sie sich eher verschlechtert? In jede Zeile bitte eine Nennung! Wie ist dies in Bezug auf ",pre_2001,pvergl4
soep-pretest,pre_2001,26,5,,commute?,How do you view your current position compared to your previous one? In which of the following points has your new job improved or worsened your status? Or has it stayed about the same? Please check just one for each line! How is this with regards to ,die Länge des Arbeitsweges?,"Wie beurteilen Sie Ihre heutige Stelle im Vergleich zur letzten?
In welchen Punkten haben Sie sich verbessert, welche sind etwa gleichwertig und in welchen haben Sie sich eher verschlechtert? In jede Zeile bitte eine Nennung! Wie ist dies in Bezug auf ",pre_2001,pvergl5
soep-pretest,pre_2001,26,6,,work hour regulations?,How do you view your current position compared to your previous one? In which of the following points has your new job improved or worsened your status? Or has it stayed about the same? Please check just one for each line! How is this with regards to ,die Arbeitszeitregelung?,"Wie beurteilen Sie Ihre heutige Stelle im Vergleich zur letzten?
In welchen Punkten haben Sie sich verbessert, welche sind etwa gleichwertig und in welchen haben Sie sich eher verschlechtert? In jede Zeile bitte eine Nennung! Wie ist dies in Bezug auf ",pre_2001,pvergl6
soep-pretest,pre_2001,26,7,,benefits?,How do you view your current position compared to your previous one? In which of the following points has your new job improved or worsened your status? Or has it stayed about the same? Please check just one for each line! How is this with regards to ,die betrieblichen Sozialleistungen?,"Wie beurteilen Sie Ihre heutige Stelle im Vergleich zur letzten?
In welchen Punkten haben Sie sich verbessert, welche sind etwa gleichwertig und in welchen haben Sie sich eher verschlechtert? In jede Zeile bitte eine Nennung! Wie ist dies in Bezug auf ",pre_2001,pvergl7
soep-pretest,pre_2001,26,8,,security against loss of job?,How do you view your current position compared to your previous one? In which of the following points has your new job improved or worsened your status? Or has it stayed about the same? Please check just one for each line! How is this with regards to ,die Sicherheit vor Verlust des Arbeitsplatzes?,"Wie beurteilen Sie Ihre heutige Stelle im Vergleich zur letzten?
In welchen Punkten haben Sie sich verbessert, welche sind etwa gleichwertig und in welchen haben Sie sich eher verschlechtert? In jede Zeile bitte eine Nennung! Wie ist dies in Bezug auf ",pre_2001,pvergl8
soep-pretest,pre_2001,27,,,,"Are you able to use your professional skills and abilities today more, about the same, or less than in your previous position?",,"Können Sie von Ihren beruflichen Kenntnissen und Fähigkeiten heute mehr, gleich viel oder weniger verwenden als in Ihrer letzten Stelle?",pre_2001,pvergl9
soep-pretest,pre_2001,28,,,,"Were you actively looking for a job when you received your current position, or did it just come up?",,"Bevor Sie ihre jetzige Stelle angetreten haben, haben Sie da aktiv nach einer Stelle gesucht oder hat sich das so ergeben?",pre_2001,psuch1
soep-pretest,pre_2001,29,,,,How did you find out about this job?  Please check just one!,,Wie haben Sie von dieser Stelle erfahren? Bitte nur einen Punkt auswählen!,pre_2001,psuch2
soep-pretest,pre_2001,30,,,,"What is your current position/occupation? Please give the exact title. For example, do not write ""clerk"", but ""shipping clerk""; not ""blue-collar worker"", but ""machine metalworker"". If you are engaged in public employment, please give your official title, for example, ""police chief"" or ""Studienrat"". If you are an apprentice or in vocational training, please state the profession associated with your training. Please write the German term only!",,"Welche berufliche Tätigkeit üben Sie derzeit aus? Bitte geben Sie die genaue Tätigkeitsbezeichnung an, also z.B. nicht ""kaufmännische Angestellte"", sondern: ""Speditionskauffrau"", nicht ""Arbeiter"", sondern: ""Maschinenschlosser"". Wenn Sie Beamter sind, geben Sie bitte Ihre Amtsbezeichnung an, z.B. ""Polizeimeister"", oder ""Studienrat"". Wenn Sie Auszubildender sind, geben Sie bitte Ihren Ausbildungsberuf an.",pre_2001,pber
soep-pretest,pre_2001,31,,,,Is this position the same as the profession for which you were educated or trained?,,Entspricht diese Tätigkeit Ihrem erlernten Beruf?,pre_2001,pberja
soep-pretest,pre_2001,32,,,,What type of education or training is usually necessary for this type of work?,,Welche Art von Ausbildung ist für diese Tätigkeit in der Regel erforderlich?,pre_2001,pberaus
soep-pretest,pre_2001,33,1,,Only a short introduction on the job,What type of introduction or introductory training is usually necessary for this type of work?,Nur eine kurze Einweisung am Arbeitsplatz,Welche Art von Einarbeitung in diese Tätigkeit ist in der Regel erforderlich?,pre_2001,peinar1
soep-pretest,pre_2001,33,2,,A longer training period in the company,What type of introduction or introductory training is usually necessary for this type of work?,Eine längere Einarbeitung im Betrieb,Welche Art von Einarbeitung in diese Tätigkeit ist in der Regel erforderlich?,pre_2001,peinar2
soep-pretest,pre_2001,33,3,,Participation in special training or courses,What type of introduction or introductory training is usually necessary for this type of work?,Der Besuch von besonderen Lehrgängen / Kursen,Welche Art von Einarbeitung in diese Tätigkeit ist in der Regel erforderlich?,pre_2001,peinar3
soep-pretest,pre_2001,34,,,Does the company in which you are employed belong to the public sector?,,"Gehört der Betrieb, in dem Sie arbeiten, zum öffentlichen Dienst?",,pre_2001,poed
soep-pretest,pre_2001,35,,,"In which branch of business or industry is your company or institution active for the most part? Please state the branch as exactly as possible, for example, not ""industry"", but ""electronics industry""; not ""trade"", but ""retail trade""; not ""public service"", but ""hospital"". Please write the German term only!",,"In welchem Wirtschaftszweig / welcher Branche / welchem Dienstleistungsbereich ist das Unternehmen bzw. die Einrichtung überwiegend tätig? Bitte geben Sie die genaue Bezeichnung an, z.B. nicht ""Industrie"", sondern ""Elektroindustrie""; nicht ""Handel"", sondern ""Einzelhandel""; nicht ""öffentlicher Dienst"", sondern ""Krankenhaus"".",,pre_2001,pbra
soep-pretest,pre_2001,36,,,Approximately how many people does the company employ as a whole?,,Wieviele Beschäftigte hat das Gesamtunternehmen etwa?,,pre_2001,pgesunt
soep-pretest,pre_2001,37,,,Since: month,"Since when have you been working for your current employer? If you are self-employed, please indicate when you started your current work.",Seit: - Monat,"Seit wann sind Sie bei Ihrem jetzigen Arbeitgeber beschäftigt? Falls Sie Selbständiger sind, geben Sie bitte an, seit wann Sie Ihre jetzige Tätigkeit ausüben.",pre_2001,pseitm
soep-pretest,pre_2001,37,,,Since: year,"Since when have you been working for your current employer? If you are self-employed, please indicate when you started your current work.",Seit: - Jahr,"Seit wann sind Sie bei Ihrem jetzigen Arbeitgeber beschäftigt? Falls Sie Selbständiger sind, geben Sie bitte an, seit wann Sie Ihre jetzige Tätigkeit ausüben.",pre_2001,pseitj
soep-pretest,pre_2001,38,,,,Is this work temporary or on a contractual basis?,,Handelt es sich um ein Zeitarbeits- bzw. Leiharbeitsverhältnis?,pre_2001,pzaf
soep-pretest,pre_2001,39,1,,,Do you have a temporary or unlimited contract?,,Haben Sie ein von vornherein befristetes Arbeitsverhältnis oder haben Sie einen unbefristeten Arbeitsvertrag?,pre_2001,pbefr1
soep-pretest,pre_2001,39,2,,,Do you have a temporary or unlimited contract? If Temporary: Is this a job creation scheme (ABM) or structural adjustment measure (SAM)?,,Haben Sie ein von vornherein befristetes Arbeitsverhältnis oder haben Sie einen unbefristeten Arbeitsvertrag? Wenn Befristetes Arbeitsverhältnis: Handelt es sich um eine ABM- oder SAM-Stelle?,pre_2001,pbefr2
soep-pretest,pre_2001,40,1,,,What is your current occupational status? Blue-collar worker,,In welcher beruflichen Stellung sind Sie derzeit beschäftigt? Arbeiter ,pre_2001,parb
soep-pretest,pre_2001,40,2,,,What is your current occupational status? Self-employed farmer,,"In welcher beruflichen Stellung sind Sie derzeit beschäftigt?  Freie Berufe, Selbstständige Akademiker",pre_2001,psst1
soep-pretest,pre_2001,40,3,,,"What is your current occupational status? Freelancers, self-employed academics",,In welcher beruflichen Stellung sind Sie derzeit beschäftigt?  Selbstständiger Landwirt,pre_2001,psst2
soep-pretest,pre_2001,40,4,,,What is your current occupational status? Other self-employed,,In welcher beruflichen Stellung sind Sie derzeit beschäftigt?  Sonstige Selbstständige,pre_2001,psst3
soep-pretest,pre_2001,40,5,,,What is your current occupational status? Helping family members,,In welcher beruflichen Stellung sind Sie derzeit beschäftigt?  Mithelfende Familienangehörige,pre_2001,psst4
soep-pretest,pre_2001,40,6,,,What is your current occupational status? Apprentices / trainees and interns,,In welcher beruflichen Stellung sind Sie derzeit beschäftigt? Auszubildende und Praktikanten,pre_2001,pazubi
soep-pretest,pre_2001,40,7,,,What is your current occupational status? White-collar worker,,In welcher beruflichen Stellung sind Sie derzeit beschäftigt? Angestellte,pre_2001,pang
